player_id,player_name,archetype,season,team,games_played,minutes,points,rebounds,assists,steals,blocks,fg_pct,fg3_pct,ft_pct
0,Robert Smith,regular,2019-20,SkyBirds,55,36.3,5.4,3.9,,1.2,0.2,0.4,0.302,0.709
1,Mandy Evans,regular,2019-20,SparkiFY,38,14.8,17.9,5.9,3.9,1.6,0.5,0.431,0.369,0.734
2,Miguel Lee,regular,2019-20,SkyBirds,79,17.2,10.1,7.2,2.5,1.4,1.2,0.432,0.322,0.792
3,Ashlee Martin,regular,2019-20,HtmlERS,46,31.6,11.6,7.0,3.5,0.5,1.1,0.474,0.365,0.739
4,David Hamilton,regular,2019-20,SparkiFY,37,31.9,8.9,6.4,,1.7,0.8,0.433,0.329,
5,Anna Thompson,regular,2019-20,HtmlERS,23,19.6,13.6,6.6,4.1,1.2,0.7,0.511,0.33,0.838
6,Angela Kelly,regular,2019-20,SkyBirds,41,18.9,10.9,4.9,1.0,0.9,0.3,0.442,0.336,0.781
7,Susan Davis,regular,2019-20,BIsupremE,42,28.9,5.5,4.5,1.3,0.3,,0.45,0.332,0.691
8,Tiffany Jenkins,regular,2019-20,KeyBoardWarriors,40,19.7,13.4,6.4,4.2,1.1,0.5,0.407,0.368,0.789
9,William Hernandez,regular,2019-20,VBADragons,70,19.0,10.3,4.5,3.3,0.5,1.0,0.501,0.36,0.811
10,Jennifer Lee,regular,2019-20,SkyBirds,47,12.7,16.7,7.5,3.8,1.6,0.5,0.428,0.357,0.821
11,Matthew Johnson,regular,2019-20,LutammS,80,24.1,6.5,2.8,1.1,1.1,0.7,0.402,0.337,0.668
12,Matthew Ponce,regular,2019-20,SkyBirds,73,17.2,17.8,5.0,4.7,1.6,0.8,0.403,0.303,0.757
13,Tiffany Garner,regular,2019-20,SkyBirds,70,23.0,11.4,5.2,3.3,1.8,1.0,0.476,0.366,0.741
14,Adam Bentley,regular,2019-20,LutammS,38,22.6,2.2,3.6,1.9,0.3,0.3,0.379,0.285,0.713
15,Monica Townsend,regular,2019-20,HtmlERS,21,16.2,7.7,2.1,2.4,1.0,0.2,0.468,0.287,0.701
16,Harold Garcia,regular,2019-20,SkyBirds,35,32.3,8.8,4.2,1.6,0.7,0.4,0.471,0.283,0.732
17,Robert Mcclure,elite_defender,2019-20,BIsupremE,77,17.7,9.8,6.8,2.4,2.7,1.1,0.409,0.326,0.759
18,Belinda Doyle,regular,2019-20,LutammS,67,29.3,4.7,1.1,1.5,0.7,0.3,,0.264,0.748
19,Jesse Mills,regular,2019-20,VBADragons,32,32.7,,7.5,3.6,1.2,1.0,0.498,0.352,0.844
20,Jenna Summers,regular,2019-20,UnitedWeCode,48,35.4,13.7,6.4,3.4,1.0,0.4,0.507,0.326,0.834
21,Lindsay Hall,regular,2019-20,HtmlERS,35,29.7,10.6,4.4,,0.7,0.7,0.468,0.337,0.793
22,Morgan Robinson,regular,2019-20,LutammS,82,19.2,7.4,2.2,1.8,0.6,0.4,0.36,0.251,0.625
23,Laurie Peters,regular,2019-20,HtmlERS,77,22.2,14.1,3.1,4.7,1.5,1.1,0.459,0.331,0.816
24,Jacob Chapman,elite_defender,2019-20,UnitedWeCode,82,14.8,12.8,7.2,2.2,2.2,1.7,0.409,0.354,0.848
25,April Benjamin,regular,2019-20,BIsupremE,60,36.4,16.1,3.1,2.1,,1.1,,0.352,0.828
26,Bob Martin,regular,2019-20,SkyBirds,53,32.3,11.6,4.7,1.8,0.9,0.5,0.438,0.321,0.662
27,Tonya Collier,regular,2019-20,LutammS,74,36.7,8.9,5.1,4.2,0.7,1.0,0.468,0.318,0.742
28,Edward Perez,regular,2019-20,BIsupremE,43,15.0,12.6,6.9,4.6,1.5,0.9,0.41,0.355,0.8
29,Amber Moore,regular,2019-20,SparkiFY,29,24.2,16.9,7.5,3.3,0.5,1.0,0.473,0.36,0.736
30,Mario Williams,regular,2019-20,VBADragons,49,18.7,15.3,4.0,4.7,1.3,0.7,0.494,0.302,0.725
31,Jennifer Miller,regular,2019-20,KeyBoardWarriors,26,17.0,2.7,2.0,1.2,0.5,0.3,0.388,,0.749
32,Virginia Knapp,regular,2019-20,SkyBirds,42,29.1,2.1,,0.8,0.4,0.3,0.435,0.329,0.612
33,Kristina Barton,regular,2019-20,SkyBirds,23,19.3,5.7,4.3,2.9,0.7,0.4,,0.314,0.724
34,Michael Shelton,regular,2019-20,SkyBirds,48,25.5,6.0,1.8,1.7,0.2,0.3,0.387,0.251,0.634
35,Kathleen Castillo,regular,2019-20,HtmlERS,81,23.1,,2.2,0.7,,0.2,0.375,0.285,0.616
36,Bryan Sims,regular,2019-20,SparkiFY,43,21.3,10.8,4.9,1.5,0.4,0.3,0.386,0.344,0.654
37,Mark Bishop,regular,2019-20,BIsupremE,78,22.3,9.5,4.4,,,0.9,0.403,0.333,0.749
38,Robert Cisneros,regular,2019-20,BIsupremE,78,17.7,14.2,4.1,3.3,1.7,0.6,0.474,0.333,0.713
39,James Mack,elite_scorer,2019-20,BIsupremE,29,20.7,25.9,4.7,3.7,1.5,0.6,0.51,0.414,0.927
40,Holly Hawkins,regular,2019-20,VBADragons,36,34.3,5.5,2.4,1.2,0.7,0.3,0.354,0.262,0.695
41,Christopher Martin,regular,2019-20,LutammS,54,23.0,15.2,7.1,3.2,0.6,0.6,0.5,0.313,0.847
42,Tammy Hall,regular,2019-20,SkyBirds,38,21.2,6.1,2.6,1.2,1.1,,0.428,0.302,0.714
43,Frank Roberts,regular,2019-20,UnitedWeCode,67,19.4,14.3,3.7,2.6,0.9,0.3,0.444,0.359,0.827
44,Amanda Stone,regular,2019-20,SparkiFY,71,32.6,11.6,3.6,,1.7,0.5,0.418,0.357,0.844
45,Aaron Smith,regular,2019-20,SkyBirds,71,13.5,14.4,7.1,3.9,1.6,0.5,0.459,0.315,0.754
46,Tyler Lopez,regular,2019-20,KeyBoardWarriors,23,28.9,6.2,,1.4,1.2,0.6,0.44,0.335,0.695
47,Cathy Lindsey,regular,2019-20,LutammS,71,33.9,10.5,7.1,2.9,1.0,,0.459,0.306,0.748
48,Cody Wagner,regular,2019-20,VBADragons,29,13.0,8.7,4.1,,0.6,0.5,0.441,0.285,
49,Richard Tyler,regular,2019-20,UnitedWeCode,76,15.5,11.0,6.7,3.8,1.7,1.1,0.424,0.318,0.737
